beta,mu,alpha,lambda,gamma,theta,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
100.00000000,0.00100000,0.00100000,0.00100000,0.00500000,1.00000000,0.741332,0.477300,0.741332,0.632318,0.637728,0.627000,0.477361,0.965922
 , , , , , ,0.000562,0.000104,0.000562,0.000039,0.000323,0.000237,0.000154,0.000050
